Index,Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
1,Staten Island,Grasmere-Arrochar-South Beach-Dongan Hills,South Beach,"21 Robin Road, Staten Island NY",Snug Harbor Youth,Year Round,Friday (Start Time: 1:30 PM - End Time:  4:30 PM),,snug-harbor.org,502,50,,,,40.595579,-74.062991,122,4319,POINT (-74.062991 40.595579)
2,Manhattan,Morningside Heights,SW Corner of W 112 Street & Broadway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,,,,,,26,3890,
3,Manhattan,Upper East Side-Carnegie Hill,East 96th Street Food Scrap Drop-off,96th St & Lexington Ave,GrowNYC,Year Round,Fridays (Start Time: 7:30 AM - End Time:  11:30 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,108,5,,,,40.785792,-73.950833,19,4250,POINT (-73.950833 40.785792)
4,Brooklyn,Crown Heights (North),Imani Community Garden,"87-91 Schenectady Ave, Brooklyn, NY 11213",Imani Community Garden,Year Round,Wednesdays and Saturdays (Start Time: Saturdays 11:00AM; Wednesdays 8:00AM - End Time:  Saturdays 1:00PM; Wednesdays 10:00AM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/Imani-Garden-168006109999475/,308,36,,,,40.67623,-73.93295,77,3954,POINT (-73.93295 40.67623)
5,Queens,Astoria (Central),NW  Corner of 31st Street & Broadway,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,4181,
6,Bronx,University Heights (South)-Morris Heights,*CLOSED FOR THE SEASON* Francis Martin Library,"2150 University Avenue Bronx, NY 10453",,Year Round,Monday (Start Time: 12:00 PM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://www.nypl.org/locations/francis-martin,205,14,,,,40.8575626,-73.909437,46,4218,POINT (-73.909437 40.8575626)
7,Brooklyn,Crown Heights (North),SE Corner of Schenectady Avenue & Sterling Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,3972,
8,Brooklyn,Bedford-Stuyvesant (East),SW Corner of Albany Avenue & Herkimer Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,3986,
9,Brooklyn,Bushwick (West),SW Corner of Knickerbocker Avenue & Jefferson Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,34,,,,,,83,4070,
10,Manhattan,Financial District-Battery Park City,SmartComposting: Bowling Green (South),Bowling Green (inside south entrance),Alliance for Downtown New York,Year Round,"6 am ? 7:30, or when park gates are open","Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,13,,,40.70477,-74.01368,1,3851,POINT (-74.01368 40.70477)
11,Brooklyn,Bushwick (East),NW Corner of Central Avenue & Hancock Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4085,
12,Bronx,Belmont,NW Corner of E 183 Street & Washington Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,206,15,,,,,,48,4231,
13,Brooklyn,Crown Heights (North),Walt L Shamel Community Garden,"1097 Dean St, Brooklyn, NY 11216",Volunteers at Walt L Shamel Community Garden,End of March - January 30,Saturdays and Sundays (Start Time: 12:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/WaltLShamelCommunityGarden/,308,35,,,,40.67744,-73.953657,77,3967,POINT (-73.953657 40.67744)
14,Manhattan,East Harlem (North),NE Corner of E 130 Street & 5 Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,9,,,,,,25,3911,
15,Queens,East Elmhurst,East Elmhurst Community School,"26-25 97th St, Queens, NY 11369",East Elmhurst Community School,Year Round,Wednesdays (Start Time: 1:00 PM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",,403,21,,,,40.7616519,-73.8720745,115,4149,POINT (-73.8720745 40.7616519)
16,Brooklyn,East New York-New Lots,East New York Farms: Success Community Garden,461 Williams Avenue,East New York Farms,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",,305,42,1130,3038020001,3000000,40.66469,-73.8975,75,4204,POINT (-73.8975 40.66469)
17,Brooklyn,Bushwick (East),Irving Avenue & Weirfield Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4102,
18,Brooklyn,Windsor Terrace-South Slope,Brooklyn Hope Church,"120 16th Street, Brooklyn, New York 11215",Brooklyn Hope Church,Year Round,Sundays (Start Time: 12 pm - End Time:  2 pm),"Accepts meat, bones, and dairy",Brooklynhope.org,307,38,,,,40.6657639,-73.9918034,72,4043,POINT (-73.9918034 40.6657639)
19,Brooklyn,Prospect Heights,Prospect Heights Food Scrap Drop-off,Park Place & Carlton Ave,GrowNYC,Year Round,Thursdays (Start Time: 8:00 AM - End Time:  11:00 AM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,308,35,,,,40.67741,-73.972226,78,4011,POINT (-73.972226 40.67741)
20,Staten Island,Port Richmond,*CLOSED FOR THE SEASON* West Brighton,Chappell Street and Henderson Avenue,Snug Harbor Youth,Year Round,Fridays (Start Time: 4:00 PM - End Time:  5:30 PM),"Not accepted: meat, bones, or dairy",snug-harbor.org,501,49,13301,,,40.636758,-74.119727,120,4314,POINT (-74.119727 40.636758)
21,Manhattan,Hell's Kitchen,Hudson River Park's Pier 84 at W. 44th St.,Pier 84 at W. 44th St. near dog park,Staff at Hudson River Park,Year Round,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),"Not accepted: meat, bones, or dairy",https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,104,3,,,,40.76346,-74.00025,18,3870,POINT (-74.00025 40.76346)
22,Brooklyn,Flatbush (West)-Ditmas Park-Parkville,Q Gardens,"58 E 18th St, Brooklyn, NY 11226",Q Gardens,Year Round,"Tuesdays, Fridays, Saturdays, and Sundays (Start Time: Tuesday 6pm; Friday - Sunday dawn - End Time:  Tuesday 8pm; Fridays + Saturdays all night; Sundays until 4:00PM)","Not accepted: meat, bones, or dairy",https://qgardenscf.com/places-to-drop-off-your-compost/,314,40,,,,40.649778,-73.963194,70,4199,POINT (-73.963194 40.649778)
23,Brooklyn,Bushwick (West),NW Corner of Central Avenue & Hart Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,304,37,,,,,,83,4072,
24,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Patchen Avenue & Fulton Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,3940,
25,Manhattan,Hamilton Heights-Sugar Hill,Frank White Memorial Garden,"506 West 143rd Street, New York, NY 10031",Brotherhood/Sister Sol,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Garden staff will be available for questions or concerns from 10am-6pm. Not accepted: meat, bones, or dairy",www.brotherhood-sistersol.org,109,7,,,,40.824235,-73.94983,30,3879,POINT (-73.94983 40.824235)
26,Brooklyn,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,Red Hook Community Farm,103 Otsego St,NYC Compost Project Hosted by Big Reuse,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",,306,38,53,3006070001,3000000,40.6726299,-74.0103773,76,4050,POINT (-74.0103773 40.6726299)
27,Bronx,Melrose,Rainbow Garden of Health,"757 Melrose Ave Bronx, NY 10451",,Year Round,"Wednesdays, Thursdays, Saturdays (Start Time: 10:00 AM - End Time:  W&Th 1:00 PM, Sat 2:00 PM)","Not accepted: meat, bones, or dairy",,201,17,,,,40.8215402,-73.9155499,40,4117,POINT (-73.9155499 40.8215402)
28,Staten Island,West New Brighton-Silver Lake-Grymes Hill,Olivet Heavenly Harvest,"97 Myrtle Avenue, Staten Island, NY",Olivet Heavenly Harvest,Closed During Winter,Saturdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",olivetheavenlyharvest.com,501,49,,,,40.63034,-74.11616,120,4309,POINT (-74.11616 40.63034)
29,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Howard Avenue & Macdonough Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,41,,,,,,81,3934,
30,Brooklyn,Bedford-Stuyvesant (East),NW Corner of Howard Avenue & Putnam Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,41,,,,,,81,3935,
31,Queens,Rego Park,*CLOSED FEBRUARY* The Compost Collective,"The corner of Yellowstone Blvd, and Kessel Street Forest Hills, NY 11375",The Compost Collective,Year Round (Except February),Saturdays (Start Time: 12:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/pg/thecompostcollective/about/?ref=page_internal,406,30,,,,40.71645,-73.85778,112,4263,POINT (-73.85778 40.71645)
32,Queens,Astoria (Central),NE Corner of 31 Avenue & 37 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,4177,
33,Manhattan,Financial District-Battery Park City,SmartComposting: Cedar & William Streets,Cedar and William Streets (Northeast corner),Alliance for Downtown New York,Year Round,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",https://downtownny.com/compost/,101,1,,,,40.70739,-74.00853,1,3847,POINT (-74.00853 40.70739)
34,Brooklyn,Prospect Heights,Vanderbilt Avenue & Plaza Street East,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,3979,
35,Queens,Queensbridge-Ravenswood-Dutch Kills,NE Corner of 35 Avenue & 12 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,26,,,,,,114,4166,
36,Queens,Corona,Corona,"Roosevelt Ave at 103 Street, Queens",GrowNYC,Year Round,Fridays (Start Time: 8:00 AM - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,404,21,,,,40.749728,-73.862513,110,4145,POINT (-73.862513 40.749728)
37,Manhattan,East Harlem (North),SE Corner of Pleasant Avenue & E 116 Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,,,,,,25,3915,
38,Bronx,Soundview-Bruckner-Bronx River,NW Corner of Bruckner Boulevard & Evergreen Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,209,17,,,,,,43,4134,
39,Brooklyn,Madison,Avenue U and East 16th Street,"Avenue U and East 16th Street, southeast corner",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,315,48,,,,40.5988666,-73.9553874,61,4277,POINT (-73.9553874 40.5988666)
40,Manhattan,Harlem (North),SE Corner of W 136 Street & Edgecombe Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,32,3902,
41,Queens,South Jamaica,*CLOSED FOR THE SEASON* Paradise Garden,"107-31 Inwood St, Queens, NY 11435",Paradise Garden,July-December,Fridays (Start Time: 11:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",,412,28,,,,40.69056,-73.80395,103,4295,POINT (-73.80395 40.69056)
42,Manhattan,Washington Heights (South),Morris-Jumel Community Garden,457 West 162nd Street,NYC Compost Project Hosted by Earth Matter NY,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",,112,10,24301,1021100058,1000000,40.8359312,-73.9391906,33,4031,POINT (-73.9391906 40.8359312)
43,Brooklyn,Prospect Park,Grand Army Plaza Greenmarket,Flatbush Ave & Prospect Park W (Prospect Park entrance),GrowNYC,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,355,39,,,,40.671899,-73.969673,78,4018,POINT (-73.969673 40.671899)
44,Brooklyn,Bedford-Stuyvesant (West),SW Corner of Throop Avenue & Halsey Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,3999,
45,Manhattan,Hamilton Heights-Sugar Hill,SW Corner of W 147 Street & Amsterdam Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,,,,,,30,3883,
46,Staten Island,Arden Heights-Rossville,Arden Heights,Arden Avenue and Forest Green,Snug Harbor Youth,Year Round,Saturdays (Start Time: 1:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://snug-harbor.org/,503,51,17007,,,40.556014,-74.194626,123,4282,POINT (-74.194626 40.556014)
47,Queens,Jamaica,King Manor Museum,"150-03 Jamaica Ave, Jamaica, NY 11432",King Manor Museum,Year Round,Fridays and Saturdays (Start Time: Friday 10 AM; Saturday 9:30 - End Time:  Friday 4:00; Saturdays 2:30pm),"Not accepted: meat, bones, or dairy",https://www.kingmanor.org/,412,27,,,,40.70216,-73.80445,103,4294,POINT (-73.80445 40.70216)
48,Brooklyn,Bushwick (West),EL Garden,"120 Jefferson St, Brooklyn, NY 11206",EL Garden,Year Round,24/7 (Start Time: 24/7 - End Time:  24/7),"Not accepted: meat, bones, or dairy",https://www.facebook.com/elgardenbushwickpage/,304,34,,,,40.69955,-73.93066,83,4062,POINT (-73.93066 40.69955)
