OID,Mon,Tues,Wed,Thurs,Fri,Sat,Sun
7022,0,0,0,0,0,0,Start Time: 10:00 AM - End Time: 12:00 PM
7165,Start Time: 10:00 AM - End Time: 4:00 PM,Start Time: 10:00 AM - End Time: 4:00 PM,Start Time: 10:00 AM - End Time: 4:00 PM,Start Time: 10:00 AM - End Time: 4:00 PM,Start Time: 10:00 AM - End Time: 4:00 PM,Start Time: 10:00 AM - End Time: 4:00 PM,Start Time: 10:00 AM - End Time: 4:00 PM
6771,Start Time: 10:00 AM - End Time: 6:00 PM,Start Time: 10:00 AM - End Time: 6:00 PM,Start Time: 10:00 AM - End Time: 6:00 PM,Start Time: 10:00 AM - End Time: 6:00 PM,Start Time: 10:00 AM - End Time: 6:00 PM,Start Time: 10:00 AM - End Time: 6:00 PM,Start Time: 10:00 AM - End Time: 6:00 PM
6719,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
6732,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
6733,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
6737,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
6738,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
6739,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
6740,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM,Start Time: 7:00 AM - End Time: 7:00 PM
