OID,Hosted_By,Host_ID
6706,Alliance for Downtown New York,20
6707,Alliance for Downtown New York,20
6708,Alliance for Downtown New York,20
6709,Alliance for Downtown New York,20
6710,Alliance for Downtown New York,20
6711,Alliance for Downtown New York,20
6712,Alliance for Downtown New York,20
6713,Alliance for Downtown New York,20
6714,Alliance for Downtown New York,20
6715,Battery Park City Authority,68
6716,Battery Park City Authority,68
6717,NYC Compost Project,105
6717,GrowNYC,18
6717,Earth Matter NY,33
6718,Alliance for Downtown New York,20
6719,Staff at Hudson River Park,25
6720,GrowNYC,18
6721,NYC Compost Project,105
6721,Earth Matter NY,33
6722,NYC Compost Project,105
6722,Earth Matter NY,33
6723,NYC Compost Project,105
6723,Earth Matter NY,33
6724,NYC Compost Project,105
6724,LES Ecology Center,31
6725,NYC Compost Project,105
6725,LES Ecology Center,31
6726,NYC Compost Project,105
6726,LES Ecology Center,31
6727,NYC Compost Project,105
6727,LES Ecology Center,31
6728,West Side Community Garden,128
6729,GrowNYC,18
6730,GrowNYC,18
6731,GrowNYC,18
6732,Staff at Hudson River Park,25
6733,Staff at Hudson River Park,25
6734,Mathews-Palmer Park,42
6735,GrowNYC,18
6736,NYC Compost Project,105
6736,LES Ecology Center,31
6737,Staff at Hudson River Park,25
6738,Staff at Hudson River Park,25
6739,Staff at Hudson River Park,25
6740,Staff at Hudson River Park,25
6741,NYC Compost Project,105
6741,LES Ecology Center,31
6742,Brotherhood/Sister Sol,27
6743,Jenny's Garden,53
6744,Maggie's Garden,99
6745,Department of Sanitation,17
6746,Department of Sanitation,17
6747,Department of Sanitation,17
6748,GrowNYC,18
6749,Department of Sanitation,17
6750,GrowNYC,18
6751,Department of Sanitation,17
6752,Department of Sanitation,17
6753,Department of Sanitation,17
6754,Department of Sanitation,17
6755,St. Mary's Harlem,129
6755,GrowNYC,18
6756,Department of Sanitation,17
6757,Department of Sanitation,17
6758,Department of Sanitation,17
6759,GrowNYC,18
6760,4th Avenue Presbyterian Church,108
6761,GrowNYC,18
6762,GrowNYC,18
6763,Los Colibríes Community Garden,127
6764,Brooklyn Hope Church,24
