Borough,SiteName,SiteAddr,Open_Month,Season_Start,Season_End,Day_Hours,Notes,Latitude,Longitude,OID,Type
Manhattan,SmartComposting: Zuccotti Park,Zuccotti Park (East side),Year Round,,,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",40.70905,-74.01072,6706,Smart Bin
Manhattan,SmartComposting: One New York Plaza,One New York Plaza (Corner of Broad and Water Streets),Year Round,,,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",40.70287,-74.01163,6707,Smart Bin
Manhattan,SmartComposting: Platt & Gold Streets,Platt and Gold Streets (Southeast corner),Year Round,,,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",40.7077,-74.00679,6708,Smart Bin
Manhattan,SmartComposting: Maiden Lane & Pearl Street,Maiden Lane and Pearl Streets (Northwest corner),Year Round,,,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",40.70688,-74.00684,6709,Smart Bin
Manhattan,SmartComposting: Cedar & William Streets,Cedar and William Streets (Northeast corner),Year Round,,,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",40.70739,-74.00853,6710,Smart Bin
Manhattan,SmartComposting: Wall & Pearl Streets,Wall and Pearl Streets (Southwest corner),Year Round,,,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",40.70559,-74.00812,6711,Smart Bin
Manhattan,SmartComposting: Rector & Washington Streets,Rector and Washington Streets (Southeast corner),Year Round,,,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",40.70807,-74.01437,6712,Smart Bin
Manhattan,SmartComposting: John & Williams Streets,John and William Streets (Northwest corner),Year Round,,,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",40.70888,-74.00721,6713,Smart Bin
Manhattan,SmartComposting: Bowling Green (South),Bowling Green (inside south entrance),Year Round,,,24/7,"Scan QR code on the bin to drop-off! Accepts all types of food scraps, including meat & dairy.",40.70477,-74.01368,6714,Smart Bin
Manhattan,Battery Park City Authority Headquarters,75 Battery Place,Year Round,,,24/7,,40.7067584,-74.0171557,6715,Community
Manhattan,Battery Park City Authority Rockefeller Park,Lower level downstairs at corner of Chambers St and River Terrace,Year Round,,,24/7,,40.7183877,-74.0148782,6716,Community
Manhattan,Bowling Green Greenmarket,"Broadway at Battery Place, New York, NY 10004",Year Round,,,Tuesdays (Start Time: 8:00 AM - End Time:  11:00 AM),,40.7046367,-74.0137794,6717,Community
Manhattan,SmartComposting: Broadway & Park Place,Broadway and Park Place (Northwest corner),Year Round,,,24/7,,40.712653,-74.007723,6718,Smart Bin
Manhattan,Hudson River Park's Pier 25 at N. Moore St.,Pier 25 at N. Moore St. near kid's playground,Year Round,,,Every day (Start Time: 7:00 AM - End Time:  7:00 PM),,40.7202214,-74.0128434,6719,Community
Manhattan,Tribeca Greenmarket,Greenwich St. & Duane St,Year Round,,,Saturdays (Start Time: 8:00 AM - End Time:  1:00 PM),,40.717424,-74.010793,6720,Community
Manhattan,Governors Island Compost Learning Center,758 Enright Rd,Seasonal,May 1,November 1,Saturdays and Sundays (Start Time: 12:00 PM - End Time:  4:00 PM),,40.6871579,-74.0201142,6721,Community
Manhattan,Governors Island Zero Waste Stations,Several locations throughout Governors Island,Year Round,,,Every day (Start Time: Check ferry schedule - End Time:  Check ferry schedule),Whenever the island is open to the public  ,40.691403,-74.019696,6722,Community
Manhattan,Governors Island Soissons Ferry Landing,Adjacent to Soissons Landing and Taco Vista,Year Round,,,Every day (Start Time: Check ferry schedule - End Time:  Check ferry schedule),Whenever the island is open to the public  ,40.69281,-74.0148306,6723,Community
Manhattan,6th Ave & Spring St,6th Avenue & Spring Street -NE Corner,Year Round,,,Wednesdays (Start Time: 9:00 AM - End Time:  2:00 PM),,40.7256282,-74.003866,6724,Community
Manhattan,East Broadway & Rutgers Street,"East side of Rutgers St b/w East Broadway & Canal St, on the west side of Straus Sq",Year Round,,,Thursdays (Start Time: 9:00 AM - End Time:  2:00 PM),,40.714243,-73.990163,6725,Community
Manhattan,Grand Street & Clinton Street,Grand Street & Clinton Street,Year Round,,,Mondays (Start Time: 9:00 AM - End Time:  2:00 PM),,40.715889,-73.986861,6726,Community
Manhattan,Corlears Hook Park,"397 FDR Dr, New York, NY 10002 (Southeast corner of Cherry Street and Jackson Street)",Year Round,,,Thursdays (Start Time: 9:00 AM - End Time:  2:00 PM),,40.712164,-73.980547,6727,Community
Manhattan,West Side Community Garden,"West of 110 West 90th street, New York, NY 10024 (between Columbus Ave and Amsterdam Ave)",Year Round,,,Sundays (Start Time: 11:00 AM - End Time: 12:00 PM),Receptacles are placed outside the West Side Community Garden gate. The drop-off will be closed during inclement weather including rain and snow. Please check website for closure announcements.,40.7895156,-73.9716111,6728,Community
Manhattan,97th Street Greenmarket,W 97th St and Amsterdam Ave,Year Round,,,Fridays (Start Time: 8:00 AM - End Time:  12:30 PM),,40.794717,-73.969552,6729,Community
Manhattan,79th St. Greenmarket,77th Street between Columbus Ave and Central Park West,Year Round,,,Sundays (Start Time: 9:00 AM - End Time:  3:00 PM),,40.780087,-73.974657,6730,Community
